year,month,DOC  [mg L-1]
1928,2,2.88
1928,3,2.69
1928,4,2.31
1928,5,2.02
1928,6,2.12
1928,7,2.12
1928,8,2.02
1928,9,2.12
1928,10,2.22
1928,11,2.88
1928,12,2.6
1929,1,2.5
1929,2,2.79
1929,3,2.5
1929,4,2.31
1929,5,2.31
1929,6,2.31
1929,7,2.02
1929,8,2.22
1929,9,2.02
1929,10,2.12
1929,11,2.5
1929,12,2.22
1930,1,2.98
1930,2,3.07
1930,3,2.41
1930,4,2.5
1930,5,2.41
1930,6,2.02
1930,7,2.02
1930,8,1.93
1930,9,2.12
1930,10,2.12
1930,11,2.12
1930,12,2.12
1931,1,2.88
1931,2,3.17
1931,3,3.93
1931,4,2.6
1931,5,2.6
1931,6,2.69
1931,7,2.5
1931,8,2.41
1931,9,2.31
1931,10,2.41
1931,11,2.41
1931,12,2.5
1932,1,2.5
1932,2,2.79
1932,3,2.79
1932,4,2.69
1932,5,2.41
1932,6,2.41
1932,7,2.22
1932,8,2.22
1932,9,2.12
1932,10,2.22
1932,11,2.22
1932,12,2.31
1933,1,2.5
1933,2,2.79
1933,3,2.69
1933,4,2.69
1933,5,2.41
1933,6,2.5
1933,7,2.22
1933,8,2.22
1933,9,2.12
1933,10,2.12
1933,11,2.31
1933,12,2.41
1934,1,2.41
1934,2,2.31
1934,3,2.31
1934,4,2.41
1934,5,2.41
1934,6,2.41
1934,7,2.41
1934,8,2.02
1934,9,2.12
1934,10,2.12
1934,11,2.12
1934,12,2.12
1935,1,2.31
1935,2,2.5
1935,3,2.5
1935,4,2.41
1935,5,2.5
1935,6,2.5
1935,7,2.41
1935,8,2.12
1935,9,2.22
1935,10,2.22
1935,11,2.41
1935,12,3.07
1936,1,3.27
1936,2,3.46
1936,3,3.46
1936,4,3.46
1936,5,3.27
1936,6,2.69
1936,7,2.41
1936,8,2.5
1936,9,2.41
1936,10,2.31
1936,11,2.31
1936,12,2.69
1937,1,2.88
1937,2,3.17
1937,3,3.55
1937,4,3.36
1937,5,3.36
1937,6,2.88
1937,7,2.5
1937,8,2.12
1937,9,2.22
1937,10,2.22
1937,11,2.31
1937,12,2.5
1938,1,4.89
1938,2,3.17
1938,3,2.22
1938,4,2.02
1938,5,2.79
1938,6,3.07
1938,7,2.98
1938,8,2.79
1938,9,2.22
1938,10,2.6
1938,11,3.07
1938,12,5.27
